feature,mean_absolute_shap,importance_rank,random_forest_builtin_importance,rf_builtin_rank,rank_difference
categorical__admission_location_PROCEDURE SITE,0.0,122,0.0,85,37
categorical__marital_status_DIVORCED,0.0,123,0.0,85,38
categorical__admission_location_PACU,0.0,124,0.0,85,39
categorical__race_HISPANIC/LATINO - PUERTO RICAN,0.0,125,0.0,85,40
categorical__race_HISPANIC/LATINO - CUBAN,0.0,126,0.0,85,41
categorical__race_BLACK/CAPE VERDEAN,0.0,127,0.0,85,42
categorical__race_BLACK/AFRICAN AMERICAN,0.0,128,0.0,85,43
categorical__marital_status_WIDOWED,0.0,129,0.0,85,44
categorical__race_PORTUGUESE,0.0,130,0.0,85,45
categorical__race_HISPANIC/LATINO - SALVADORAN,0.0,131,0.0,85,46
categorical__race_OTHER,0.0,132,0.0,85,47
categorical__race_WHITE - OTHER EUROPEAN,0.0,133,0.0,85,48
categorical__race_UNABLE TO OBTAIN,0.0,134,0.0,85,49
categorical__race_PATIENT DECLINED TO ANSWER,0.0,135,0.0,85,50
categorical__first_careunit_Coronary Care Unit (CCU),0.0,136,0.0,85,51
categorical__first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,137,0.0,85,52
categorical__first_careunit_Neuro Intermediate,0.0,138,0.0,85,53
categorical__first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,139,0.0,85,54
categorical__first_careunit_Trauma SICU (TSICU),0.0,140,0.0,85,55
